title,brand,price,rating,votes,sales_last_month,image_url,url,has_reviews,category,rank,scraped_at
"DJI Bundle Osmo Action 4 Essentiel - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",DJI,257.33,4.4,4106.0,200.0,https://m.media-amazon.com/images/I/61uLqcKyOcL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Bundle-Osmo-Action-Essentiel/dp/B0DS2B3P2B/ref=sr_1_15,True,Objets connectés,15,2025-06-24 15:18:07.330284
"Anker soundcore 2 Enceinte Bluetooth, Enceinte Bluetooth Puissante sans Fil avec Basses Puissantes, Autonomie de 24 Heures, Porté de 20 m, Etanche Waterproof IPX7 et Microphone Intégré",Anker,27.99,4.5,123073.0,400.0,https://m.media-amazon.com/images/I/614l20nEhmL._AC_UL320_.jpg,https://www.amazon.fr/Anker-SoundCore-2_Enceinte-Bluetooth-puissantes/dp/B01MTB55WH/ref=sr_1_16,True,Objets connectés,16,2025-06-24 15:18:07.334302
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Vert d’eau, TU EU",Garmin,138.99,4.6,921.0,100.0,https://m.media-amazon.com/images/I/51NvyLl+xLL._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-multi-activit%C3%A9s-fonctions-dentrainement/dp/B0953VK51D/ref=sr_1_17,True,Objets connectés,17,2025-06-24 15:18:07.338609
"DJI Bundle Aventure Osmo Action 5 Pro, Caméra d’Action 4K avec Capteur 1/1,3"", 12 h d’Autonomie Étendue avec 3 Batt., Stabilisation, Double Écran Tactile OLED, Mini Caméra d’Action pour Voyage, Vlog",DJI,478.98,4.5,1538.0,50.0,https://m.media-amazon.com/images/I/71FdBD3y0rL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Aventure-dAction-dAutonomie-Stabilisation/dp/B07FW4CZZL/ref=sr_1_18_mod_primary_new,True,Objets connectés,18,2025-06-24 15:18:07.340317
"Jabra Speak 510 Speaker — Portable Bluetooth Speaker, Conference Speaker — Connects to Laptops, Smartphones and Tablets — USB Plug",Jabra,122.61,4.6,6017.0,100.0,https://m.media-amazon.com/images/I/61fjL51+TdL._AC_UL320_.jpg,https://www.amazon.fr/Jabra-Speak-Haut-parleur-Bluetooth-Noir/dp/B00ANI7HI2/ref=sr_1_19,True,Objets connectés,19,2025-06-24 15:18:07.342613
"Écouteurs Bluetooth 5.3, Écouteur sans Fil avec 4 ENC Réduction Antibruit Mic Casque Bluetooth Hi-FI Son Stéréo, 36 Heures Durée de Lecture, IP7 Etanche, Écran LED, Contrôle Tactile",Écouteurs,23.99,4.4,50131.0,500.0,https://m.media-amazon.com/images/I/61PoM+ECNmL._AC_UL320_.jpg,https://www.amazon.fr/Ecouteurs-Bluetooth-%C3%89couteur-Antibruit-Oreillette/dp/B0BYD8F9W7/ref=sr_1_20,True,Objets connectés,20,2025-06-24 15:18:07.345799
"AKASO EK7000 Caméra Sport 4K 30fps 20MP WiFi avec Carte Mémoire microSDXC 64 Go, Action Camera 4k Étanche jusqu'à 30M avec Stabilisation Grand Angle de 170° Télécommande 2.4G",AKASO,79.99,4.2,13362.0,200.0,https://m.media-amazon.com/images/I/71ka3ZwL5LL._AC_UL320_.jpg,https://www.amazon.fr/AKASO-M%C3%A9moire-microSDXC-Stabilisation-T%C3%A9l%C3%A9commande/dp/B0C5DH85FH/ref=sr_1_21,True,Objets connectés,21,2025-06-24 15:18:07.348455
"DJI Bundle Osmo Action 4 Standard - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",DJI,259.0,4.4,4096.0,100.0,https://m.media-amazon.com/images/I/61EtBLmDDaL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Standard-saisissantes-Couleurs-prolong%C3%A9e/dp/B0C783YNW7/ref=sr_1_22,True,Objets connectés,22,2025-06-24 15:18:07.349802
Weenect Chat XS - Nouveau Collier GPS pour Chat | Mini Traceur GPS Chat en Temps réel | Plus Petit modèle du marché | Fonctionne avec abonnement | Collier Inclus | Garantie à Vie,Weenect,49.99,4.3,1104.0,300.0,https://m.media-amazon.com/images/I/71dqQA1AWxL._AC_UL320_.jpg,https://www.amazon.fr/Weenect-Chat-XS-Fonctionne-abonnement/dp/B0CHMVRHD8/ref=sr_1_23,True,Objets connectés,23,2025-06-24 15:18:07.353465
"Ecouteurs Bluetooth sans Fil, Écouteurs Bluetooth 5.3, 50 Heures Contrôle Tactile, 4 ENC Appel Réduction Antibruit Mic, Basses Profondes, Ajustement Confortable, IPX7 Étanche Casque（Noir）",Ecouteurs,23.98,4.5,16241.0,500.0,https://m.media-amazon.com/images/I/71v9KFy+Q5L._AC_UL320_.jpg,https://www.amazon.fr/Ecouteurs-Bluetooth-R%C3%A9duction-Ajustement-Confortable/dp/B0CCDNJS75/ref=sr_1_24,True,Objets connectés,24,2025-06-24 15:18:07.355804
